576: 058D	10101110110: 0000.0101.1000.1101
577: 0005	10101110111: 0000.0000.0000.0101
578: F500	10101111000: 1111.0101.0000.0000

579: F200	10101111001: 1111.0010.0000.0000
57A: 3578	10101111010: 0011.0101.0111.1000
57B: 4577	10101111011: 0100.0101.0111.0111
57C: F400	10101111100: 1111.0100.0000.0000
57D: F800	10101111101: 1111.1000.0000.0000
57E: 300C	10101111110: 0011.0000.0000.1100
57F: F200	10101111111: 1111.0010.0000.0000
580: 4576	10110000000: 0100.0101.0111.0110
581: 300D	10110000001: 0011.0000.0000.1101
582: F200	10110000010: 1111.0010.0000.0000
583: 480D	10110000011: 0100.1000.0000.1101
584: F700	10110000100: 1111.0111.0000.0000
585: 8587	10110000101: 1000.0101.1000.0111
586: C58A	10110000110: 1100.0101.1000.1010
587: F600	10110000111: 1111.0110.0000.0000
588: 6578	10110001000: 0110.0101.0111.1000
589: 3578	10110001001: 0011.0101.0111.1000
58A: 000C	10110001010: 0000.0000.0000.1100
58B: C582	10110001011: 1100.0101.1000.0010
58C: F000	10110001100: 1111.0000.0000.0000

58D: 957F	10110001101: 1001.0101.0111.1111
58E: E000	10110001110: 1110.0000.0000.0000
58F: F500	10110001111: 1111.0101.0000.0000
590: FB00	10110010000: 1111.1011.0000.0000
591: 057E	10110010001: 0000.0101.0111.1110
